Range	60,0dB	-120,0dBm
Mobile unit	1	Mobile Terminal	 00,00000	 000,00000	0,0
Fixed unit	2	Monte da Virgem	 41,11313	-008,59838	200,1
Fixed unit	3	Sardoura	 41,04918	-008,31171	316,6
Fixed unit	4	Resende	 41,13410	-007,98018	552,6
Fixed unit	5	Nova antena 1	 41,07361	-007,57917	968,5
Latitude	Longitude	Rx(dB)	Best unit
 41,40347	-008,71583	 043,7	2
 41,40347	-008,71083	 045,0	2
 41,40347	-008,70584	 048,6	2
 41,40347	-008,70085	 046,1	2
 41,40347	-008,69586	 044,1	2
 41,40348	-008,69087	 040,0	2
 41,40347	-008,68588	 043,9	2
 41,40347	-008,68089	 043,6	2
 41,40347	-008,67590	 042,7	2
 41,40347	-008,67091	 040,6	2
 41,40347	-008,66593	 026,0	2
 41,40347	-008,66093	 031,8	2
 41,40347	-008,65594	 027,4	2
 41,40347	-008,65095	 024,0	0
 41,40347	-008,64596	 031,7	2
 41,40347	-008,64097	 028,2	2
 41,40347	-008,63598	 022,8	2
 41,40347	-008,63099	 026,7	2
 41,40347	-008,62600	 029,7	2
 41,40347	-008,62101	 014,4	0
 41,40347	-008,61602	 021,5	2
 41,40347	-008,61103	 013,7	0
 41,40347	-008,60604	 029,7	2
 41,40347	-008,60105	 039,6	2
 41,40347	-008,59606	 046,2	2
 41,40348	-008,59107	 024,2	2
 41,40347	-008,58608	 022,4	2
 41,40347	-008,58109	 020,3	0
 41,40347	-008,57610	 036,9	2
 41,40347	-008,57111	 020,7	0
 41,40347	-008,56612	 042,1	2
 41,40347	-008,56113	 046,0	2
 41,40347	-008,55614	 052,4	2
 41,40347	-008,55115	 056,2	2
 41,40347	-008,54616	 054,3	2
 41,40347	-008,54117	 041,0	2
 41,40347	-008,53618	 037,6	0
 41,40347	-008,53119	 033,0	0
 41,40347	-008,52620	 030,3	0
 41,40347	-008,52121	 039,9	2
 41,40347	-008,51622	 030,8	2
 41,40347	-008,51123	 035,5	0
 41,40348	-008,50624	 037,9	2
 41,40347	-008,50125	 045,5	2
 41,40347	-008,49626	 044,5	2
 41,40347	-008,49127	 036,0	2
 41,40347	-008,48628	 032,8	2
 41,40347	-008,48129	 043,1	2
 41,40347	-008,47630	 044,2	2
 41,40347	-008,47131	 044,1	2
 41,40347	-008,46632	 042,9	2
 41,40347	-008,46133	 042,0	2
 41,40347	-008,45634	 040,8	2
 41,40347	-008,45135	 033,8	2
 41,40348	-008,44636	 019,9	0
 41,40347	-008,44137	 025,9	0
 41,40347	-008,43638	 040,7	2
 41,40347	-008,43139	 043,8	2
 41,40347	-008,42640	 016,2	2
 41,40347	-008,42141	 044,7	2
 41,40347	-008,41642	 043,9	2
 41,40347	-008,41143	 043,0	2
 41,40347	-008,40644	 038,0	2
 41,40347	-008,40145	 028,1	0
 41,40347	-008,39646	 033,4	2
 41,40347	-008,39147	 031,7	2
 41,40347	-008,38648	 027,3	0
 41,40347	-008,38149	 027,3	2
 41,40347	-008,37650	 013,5	0
 41,40347	-008,37151	 022,5	0
 41,40347	-008,36652	 018,3	0
 41,40347	-008,36153	 022,9	0
 41,40347	-008,35654	 032,5	0
 41,40347	-008,35155	 035,4	0
 41,40348	-008,34656	 038,8	0
 41,40347	-008,34157	 039,2	0
 41,40347	-008,33658	 035,3	0
 41,40347	-008,33159	 014,8	0
 41,40347	-008,32660	 029,6	3
 41,40347	-008,32161	 024,6	0
