Range	60,0dB	-120,0dBm
Mobile unit	1	Mobile Terminal	 00,00000	 000,00000	0,0
Fixed unit	4	Resende	 41,13410	-007,98018	552,6
Latitude	Longitude	Rx(dB)	Best unit
 41,40347	-008,71583	 001,7	4
 41,40347	-008,71083	-005,3	4
 41,40347	-008,70584	-000,1	4
 41,40347	-008,70085	 002,4	4
 41,40347	-008,69586	 001,1	4
 41,40347	-008,69087	-000,1	4
 41,40347	-008,68588	-002,8	4
 41,40347	-008,68089	-002,5	4
 41,40347	-008,67590	-007,8	4
 41,40347	-008,67091	-002,5	4
 41,40347	-008,66593	-004,2	4
 41,40347	-008,66093	-009,8	4
 41,40347	-008,65594	-000,6	4
 41,40347	-008,65095	-003,7	4
 41,40347	-008,64596	-004,2	4
 41,40347	-008,64097	-003,1	4
 41,40347	-008,63598	-006,1	4
 41,40347	-008,63099	-007,5	4
 41,40347	-008,62600	-008,2	4
 41,40347	-008,62101	-005,7	4
 41,40347	-008,61602	-009,0	4
 41,40347	-008,61103	-004,2	4
 41,40347	-008,60604	-004,6	4
 41,40347	-008,60105	-010,1	4
 41,40347	-008,59606	-016,4	4
 41,40347	-008,59107	-007,1	4
 41,40347	-008,58608	-009,8	4
 41,40347	-008,58109	 007,2	4
 41,40347	-008,57610	 007,2	4
 41,40347	-008,57111	 003,5	4
 41,40347	-008,56612	 003,7	4
 41,40347	-008,56113	 003,9	4
 41,40347	-008,55614	 001,3	4
 41,40347	-008,55115	-004,1	4
 41,40346	-008,54616	 015,0	4
 41,40346	-008,54117	 009,8	4
 41,40347	-008,53618	 007,2	4
 41,40346	-008,53119	 005,4	4
 41,40347	-008,52620	 004,3	4
 41,40347	-008,52121	-001,8	4
 41,40347	-008,51622	-004,6	4
 41,40346	-008,51123	 005,6	4
 41,40347	-008,50624	 007,9	4
 41,40346	-008,50125	 007,9	4
 41,40347	-008,49626	 008,4	4
 41,40347	-008,49127	 006,1	4
 41,40347	-008,48628	 000,9	4
 41,40347	-008,48129	-005,2	4
 41,40347	-008,47630	 005,8	4
 41,40346	-008,47131	 007,4	4
 41,40347	-008,46632	 009,8	4
 41,40347	-008,46133	 009,2	4
 41,40347	-008,45634	 000,9	4
 41,40347	-008,45135	-005,2	4
 41,40347	-008,44636	 002,9	4
 41,40346	-008,44137	-007,2	4
 41,40347	-008,43638	-006,4	4
 41,40346	-008,43139	-008,4	4
 41,40347	-008,42640	-001,8	4
 41,40347	-008,42141	 016,5	4
 41,40347	-008,41642	 012,5	4
 41,40347	-008,41143	 010,6	4
 41,40347	-008,40644	 006,2	4
 41,40346	-008,40145	-005,7	4
 41,40347	-008,39646	 004,0	4
 41,40347	-008,39147	 007,8	4
 41,40347	-008,38648	 001,9	4
 41,40347	-008,38149	 004,1	4
